fat,len,wid,slat,slon
0,4.0,100,30.33,-95.35
0,0.1,30,39.17,-84.25
2,11.0,400,37.82,-90.0
0,0.3,25,45.23,-93.3
0,1.3,50,34.2759,-77.7979
0,3.78,100,41.0626,-94.8906
0,0.1,50,44.2,-98.07
0,0.5,50,38.6,-94.2
0,15.5,500,40.2988,-97.2741
0,0.0,0,39.7,-102.3
0,0.84,30,42.7988,-88.9836
0,0.1,10,44.18,-88.35
0,0.3,20,34.23,-101.28
0,4.0,330,39.72,-89.88
0,0.2,75,47.54,-96.51
0,1.0,100,47.73,-107.32
0,0.2,30,36.236,-99.589
0,4.0,50,37.78,-99.02
0,0.33,170,31.1834,-90.2059
0,1.0,10,41.43,-98.07
0,0.66,400,31.4846,-84.5174
0,0.1,10,33.65,-97.23
0,1.0,50,48.51,-96.91
0,3.4,25,48.97,-97.28
0,7.11,130,41.1702,-93.8964
0,3.08,200,30.6909,-97.9411
0,0.1,20,29.3788,-94.9056
0,5.5,110,33.88,-87.17
0,0.5,30,34.45,-97.72
0,8.0,300,38.12,-77.6
0,0.1,30,39.48,-89.03
0,1.6,350,36.8481,-94.6522
0,5.37,350,40.2532,-77.8103
1,42.1,880,36.07,-86.92
0,4.6,880,34.882,-97.42399999999999
0,0.14,30,28.1001,-81.7773
0,0.1,60,42.6,-102.34
0,1.0,10,28.05,-82.38
0,0.1,25,38.75,-93.86
0,7.39,60,43.213,-90.6927
0,0.69,20,41.12,-101.75
0,3.8,75,43.82,-69.82
0,31.0,0,35.65,-91.43
0,0.29,50,34.6431,-86.8463
0,0.1,10,44.76,-88.57
0,0.5,100,44.18,-96.35
0,0.1,30,39.98,-96.1
0,0.26,50,38.4146,-102.14399999999999
0,0.2,20,32.95,-102.88
0,3.72,40,47.05,-100.74
0,0.2,50,34.72,-76.7
0,0.1,23,41.67,-71.1
0,0.1,20,35.92,-76.25
0,0.3,25,34.08,-96.55
0,1.0,50,35.92,-83.97
0,2.5,50,39.1,-96.93
0,0.1,50,40.38,-103.58
0,5.73,420,47.996,-92.8542
0,0.3,50,32.05,-103.98
0,1.15,50,41.4817,-88.5843
0,0.1,30,30.0,-84.45
0,0.59,20,31.76,-101.19
0,20.0,100,32.8,-93.43
0,2.0,60,43.18,-83.87
0,4.5,600,36.4715,-95.2809
0,0.1,25,40.77,-103.2
0,1.0,25,35.53,-95.83
0,0.7,100,32.05,-102.7
0,0.3,20,40.9,-89.3
0,2.0,75,38.2,-77.48
0,0.52,20,37.03,-88.3418
0,0.25,25,39.7393,-101.76
0,0.1,73,39.63,-86.18
0,0.43,100,42.0048,-90.3729
0,1.34,25,38.555,-101.199
0,0.02,10,35.15,-105.94
0,6.46,530,31.3241,-89.6506
0,17.0,100,41.93,-93.1
0,0.71,150,37.0975,-100.818
0,6.1,100,34.77,-93.08
0,0.5,50,29.7,-95.53
0,0.1,50,37.0,-93.23
0,0.09,50,39.09,-93.73
0,0.54,100,40.1377,-79.1034
0,2.5,100,37.24,-99.89
0,0.56,50,33.6624,-104.57600000000001
0,2.0,100,43.12,-96.93
0,2.48,265,32.8974,-96.6753
0,5.5,200,40.38,-96.5
0,0.66,525,32.7391,-89.72399999999999
0,1.92,200,33.802,-95.3533
0,0.1,80,38.15,-95.82
0,1.05,50,35.18,-102.12299999999999
0,1.0,100,34.08,-98.37
0,0.76,100,34.87,-86.83
0,31.63,400,40.72,-99.12
0,2.8,500,41.7,-96.77
0,1.86,25,37.7905,-100.1806
0,0.5,20,35.99,-96.746
0,0.1,50,32.33,-100.54
0,0.1,10,34.02,-93.85
0,6.0,150,40.88,-85.43
0,9.0,25,48.88,-95.23
0,0.2,100,47.08,-96.52
0,9.97,200,39.5423,-97.1833
0,3.9,250,35.4617,-92.2345
0,4.93,300,40.4411,-77.1084
0,0.1,23,34.1,-98.5
0,0.14,30,34.62,-79.43
0,0.1,50,30.45,-86.9
0,0.5,73,30.15,-85.18
0,0.43,150,42.8571,-75.4318
0,10.61,125,36.3336,-86.5463
0,0.5,40,33.03,-92.19
0,6.5,50,31.18,-81.5
0,4.5,75,41.3226,-80.8153
0,7.32,880,35.2491,-91.9215
0,0.5,0,38.98,-110.22
0,0.63,100,42.3948,-95.2027
0,0.07,50,27.4215,-97.9125
0,15.11,250,39.5114,-90.4169
0,0.2,30,42.68,-103.87
0,3.0,50,32.58,-88.73
0,1.67,100,35.8451,-80.1522
0,39.77,880,32.7159,-87.2748
0,2.39,200,34.33,-99.22
0,0.8,50,31.55,-97.15
0,0.2,50,33.73,-101.6
0,0.1,30,39.52,-119.25
0,1.4,100,32.1898,-91.4893
0,1.5,300,36.55,-88.32
0,0.1,20,37.27,-85.38
0,0.5,50,34.5699,-97.1501
0,0.1,40,38.82,-89.85
0,1.0,75,38.48,-103.18
0,15.0,300,37.02,-89.15
0,9.4,350,33.72,-92.16
0,0.5,25,47.87,-98.43
0,1.5,50,29.72,-95.05
0,0.01,10,41.0351,-100.82
0,3.48,150,31.64,-85.53
0,0.1,50,40.08,-104.93
0,0.1,20,42.4,-94.58
0,21.1,50,33.72,-93.75
0,2.02,75,37.1199,-87.4888
0,2.2,200,34.986999999999995,-85.271
0,8.45,100,32.5795,-84.7448
0,55.22,1320,39.72,-97.97
0,0.1,10,40.05,-104.82
0,8.99,200,34.525,-88.1957
0,0.36,100,32.2909,-101.5184
0,5.6,200,40.12,-75.03
0,2.93,300,46.3154,-91.8745
0,0.6,50,33.37,-102.18
0,0.5,0,35.27,-95.52
0,0.3,20,45.22,-97.32
0,1.53,25,30.4239,-92.3223
0,0.25,230,44.94,-83.62
0,4.85,200,30.3375,-98.4931
0,1.05,350,39.0699,-84.3925
0,3.0,75,33.25,-91.4
0,0.5,50,29.73,-95.37
0,11.5,30,41.65,-104.97
0,0.7,100,29.6714,-98.265
0,1.0,20,30.22,-92.02
0,0.2,20,39.95,-75.17
0,1.0,100,43.05,-96.18
0,0.7,100,34.1436,-79.3545
0,1.6,625,35.5797,-94.4911
0,9.2,950,38.5345,-99.4087
0,0.1,30,25.53,-80.5
0,2.36,150,34.2529,-84.2152
0,0.8,60,40.4,-84.67
0,0.1,10,40.38,-89.63
0,0.5,0,48.18,-97.93
0,0.25,50,29.2206,-90.0237
0,0.1,10,29.37,-100.9
0,0.13,25,38.5107,-101.7408
0,0.5,25,48.97,-94.93
0,4.0,300,41.0,-72.52
0,5.57,150,40.72,-73.16
0,0.6,70,33.64,-103.35
0,0.33,30,38.9213,-85.609
0,0.2,75,34.95,-88.93
0,0.15,25,38.7796,-83.5716
0,0.3,100,36.33,-77.22
0,3.0,50,39.35,-90.78
0,5.0,50,40.6,-82.12
0,3.0,100,40.85,-95.32
0,15.0,100,38.83,-83.07
0,0.5,100,38.97,-85.9
0,4.0,100,35.1,-92.2
0,0.1,25,31.05,-104.62
0,43.03,200,36.0329,-100.272
0,0.5,25,35.233000000000004,-97.5344
0,10.03,500,33.5251,-88.3037
0,2.91,200,46.02,-97.11
0,1.0,50,46.08,-95.78
0,1.29,75,38.28,-96.85
0,0.2,30,39.8,-87.67
0,8.0,50,40.27,-109.0
0,3.78,200,46.445,-88.1106
0,0.86,50,42.93,-95.55
0,4.0,50,35.7,-96.97
0,0.04,25,39.8593,-76.6224
0,7.66,120,37.4689,-89.9047
0,0.2,30,26.47,-80.07
0,8.39,50,30.55,-92.31
0,0.2,25,45.042,-93.5749
0,2.4,50,36.9901,-96.6708
0,0.22,25,39.9017,-87.9001
0,2.51,50,41.736000000000004,-89.6509
0,3.83,300,33.8723,-88.2317
0,3.5,200,33.88,-84.52
0,14.34,150,38.1003,-98.7661
0,5.6,150,32.4,-85.98
0,28.38,440,34.0829,-84.5627
0,0.5,50,41.35,-89.73
0,2.0,25,33.5,-101.81
0,9.6,170,47.19,-122.14
0,0.26,50,38.45,-103.63
0,0.01,50,40.3624,-99.3105
0,3.43,50,38.1762,-98.5622
0,5.33,100,43.7012,-88.106
0,0.93,100,47.93,-97.4
0,2.0,900,36.9573,-83.3506
0,2.3,10,28.1,-82.78
0,0.8,30,38.42,-76.27
0,0.01,20,35.6,-77.46
0,0.97,75,34.3751,-88.0719
0,1.0,20,37.55,-101.41
0,3.0,70,40.87,-82.3
0,2.57,50,32.4876,-88.48200000000001
0,0.78,40,30.7229,-86.55799999999999
0,2.1,100,35.5403,-89.6447
0,8.0,50,40.03,-91.53
0,6.0,250,32.1334,-90.6135
0,3.79,150,37.0324,-85.2456
0,0.1,50,39.43,-97.82
0,0.1,50,40.02,-103.93
0,0.2,30,41.97,-103.8
0,4.01,100,43.7299,-88.25
0,6.13,75,32.3481,-86.9096
0,2.47,40,30.73,-91.63
0,18.0,150,38.42,-76.3
0,2.57,400,34.1632,-92.0152
0,0.4,40,34.7,-101.55
0,1.64,100,43.7837,-88.8856
0,0.3,20,37.34,-99.48
0,0.05,10,44.74,-89.63
0,0.2,100,37.32,-91.42
0,0.01,50,32.8035,-97.2013
0,3.0,30,35.13,-86.2
0,0.1,50,40.15,-102.95
0,0.53,30,40.3319,-91.3222
0,1.0,100,41.88,-104.38
0,22.38,200,39.2586,-89.234
0,0.2,20,37.83,-100.12
0,0.36,25,35.0616,-100.9416
0,0.58,100,37.6864,-75.6668
0,16.0,70,46.37,-102.17
0,2.0,75,37.9815,-78.5068
0,0.3,30,31.38,-85.93
